-1282076,"Lausanne-Flon","POINT(738052.614072256 5864097.37979162)",NULL,"po"
455530,"Güterbahnhof","POINT(948406.706488415 6004393.55190017)","Zürich, Güterbahnhof","pt"
616810,"Crosets","POINT(760832.340362434 5809808.82341572)",NULL,"pt"
2085635,"Prise Milord - St. Sulpice","POINT(729498.575371906 5927887.12021111)","St-Sulpice NE, Prise Milord","pt"
3398522,"Brot-Dessus, bureau communal","POINT(750400.679935789 5937579.02261259)",NULL,"pt"
9324140,"Stockern","POINT(835871.451008392 5903398.04796069)","Wattenwil, Stockern","pt"
9481282,"Adelboden, Rainweg","POINT(842943.867689164 5861379.53266481)","Adelboden, Rainweg","pt"
11399285,"Wiler","POINT(865820.980394803 5844991.31703953)","Wiler (Lötschen) LWL","pt"
14384545,"Hübeliweg","POINT(833934.547528334 5930356.33453143)","Muri bei Bern, Hübeliweg","pt"
14384548,"Waldried","POINT(834421.303133777 5930184.75566575)","Muri bei Bern, Waldried","pt"
19484791,"St. Gallen","POINT(1042987.47506932 6011422.25112741)","St. Gallen","pt"
19485111,"St. Gallen Winkeln","POINT(1035325.39904582 6008284.08803148)","St. Gallen Winkeln","pt"
19485259,"Gossau SG","POINT(1030065.50857804 6009530.72222064)","Gossau SG","pt"
19485335,"Flawil","POINT(1022986.14556104 6010154.61656981)","Flawil","pt"
19485526,"Uzwil","POINT(1016520.48689679 6013711.9821083)","Uzwil","pt"
19485633,"Wil","POINT(1006417.95367662 6017892.57797288)","Wil","pt"
20945809,"Schlieren","POINT(940262.060472321 6007487.25066286)",NULL,"pt"
20945817,"Dietikon","POINT(935653.945623138 6008574.04318122)",NULL,"pt"
20945822,"Killwangen-Spreitenbach","POINT(929984.210186105 6013115.64295524)","Killwangen-Spreitenbach","pt"
21311159,"Schottikon","POINT(980752.076219577 6024109.37479393)","Schottikon","pt"
21734559,"Hauptbahnhof","POINT(1043142.24255737 6011489.62768237)","St. Gallen, Bahnhof","pt"
25428760,"Finken-Rain","POINT(968029.571991897 6021072.58837153)","Winterthur, Finken-Rain","pt"
25429651,"Oberwinterthur","POINT(975144.18989163 6025228.69378643)",NULL,"pt"
25429982,"Zentrum Töss","POINT(969184.578500572 6022637.47144573)","Winterthur, Zentrum Töss","pt"
25430644,"Winterthur Hegi","POINT(976173.227264523 6024328.62638712)","Winterthur Hegi","pt"
25467961,"Hettlingen","POINT(967935.751925057 6031419.4003293)",NULL,"pt"
25499295,"Winterthur Wülflingen","POINT(966318.268591881 6025136.09556649)",NULL,"pt"
25500154,"Winterthur Töss","POINT(969613.370047159 6022377.71974712)",NULL,"pt"
25500537,"Pfungen","POINT(962551.495322164 6026683.83055929)",NULL,"pt"
25522324,"Burgdorf","POINT(848342.796200944 5952005.82632246)","Burgdorf","pt"
25522410,"Aarau","POINT(896309.09574157 6006159.43341465)","Aarau","pt"
25522436,"Mellingen Heitersberg","POINT(921260.046032891 6012219.87837209)","Mellingen Heitersberg","pt"
25522992,"Häggenschwil-Winden","POINT(1041795.66633699 6024709.04256934)","Häggenschwil-Winden","pt"
25523008,"Romanshorn","POINT(1044131.42755256 6034717.11675598)","Romanshorn","pt"
25523013,"Uttwil","POINT(1039728.69716389 6038252.01947615)","Uttwil","pt"
25523015,"Kesswil","POINT(1037216.59474295 6039835.89560974)","Kesswil","pt"
25523018,"Güttingen","POINT(1034426.81698418 6042012.13155111)","Güttingen","pt"
25523024,"Altnau","POINT(1031426.823499 6044143.3161248)","Altnau","pt"
25523030,"Landschlacht","POINT(1029384.19989854 6045335.5497683)","Landschlacht","pt"
25523036,"Münsterlingen Spital","POINT(1028161.22170878 6045866.51942981)","Münsterlingen Spital","pt"
25523039,"Münsterlingen-Scherzingen","POINT(1027141.05649931 6046100.0183249)","Münsterlingen-Scherzingen","pt"
25523047,"Bottighofen","POINT(1025599.30381572 6047297.57789042)","Bottighofen","pt"
25523094,"Kurzrickenbach Seepark","POINT(1023696.78692637 6047688.27574155)","Kurzrickenbach Seepark","pt"
25584634,"Winterthur Seen","POINT(975931.56378196 6022001.22789313)",NULL,"pt"
25586596,"Winterthur Wallrüti","POINT(975256.299750808 6026826.25567332)","Winterthur Wallrüti","pt"
25654732,"Genève-Cornavin","POINT(683722.965486448 5814153.38119386)",NULL,"pt"
26032230,"Saas","POINT(1092072.2349298 5926992.22053354)","Saas im Prättigau","pt"
26032254,"Jenaz","POINT(1081856.51205139 5930596.64189413)","Jenaz","pt"
26032291,"Furna","POINT(1080801.54836909 5932223.54445037)","Furna","pt"
26032347,"Grüsch","POINT(1073769.52953153 5938908.82393583)","Grüsch","pt"
26032373,"Malans","POINT(1065762.12931563 5938437.93890341)","Malans","pt"
26034488,"Bäch","POINT(971491.786266753 5974923.99058373)",NULL,"pt"
